k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Iterative estimation of undesired signal power for superposed multicarrier transmission with channel estimation error.,2156967195,conf/pimrc/ShibataYOMS14,"(79, '-', 19)",129778.65161514282,Match,0.03932785987854004,0.04770088195800781,0.08882355690002441,0.4,0.85
6,3000,Hamiltonian Cycles Avoiding Prescribed Arcs in Tournaments.,2048972313,journals/cpc/Bang-JensenGY97,"(21, '-', 30)",129778.65161514282,Match,0.009680986404418945,0.01384282112121582,0.024103403091430664,0.4,0.85
6,3000,Identifying Pollution Attackers in Network-Coding Enabled Wireless Mesh Networks.,2156971594,conf/icccn/LiL11a,"(13, '-', 35)",129778.65161514282,Match,0.0272214412689209,0.033442020416259766,0.06196928024291992,0.4,0.85
6,3000,Adaptive multi-stage integrators for optimal energy conservation in molecular simulations.,2190914950,journals/corr/Fernandez-Pendas15,"(50, '-', 16)",129778.65161514282,Match,0.03754830360412598,0.04956388473510742,0.08898425102233887,0.4,0.85
6,3000,From IPTV services to shared experiences: Challenges in architecture design.,2156972896,conf/icmcs/VaishnaviCBF10,"(30, '-', 9)",129778.65161514282,Match,0.021831512451171875,0.03135418891906738,0.054389238357543945,0.4,0.85
6,3000,An infinite class of quadratic APN functions which are not equivalent to power mappings.,2156979688,conf/isit/BudaghyanCFL06,"(65, '-', 26)",129778.65161514282,Match,0.03324699401855469,0.03973984718322754,0.07450747489929199,0.4,0.85
6,3000,Cyberinsurance in IT Security Management.,2156983464,journals/ieeesp/BaerP07,"(10, '-', 10)",129778.65161514282,Match,0.011853456497192383,0.016806364059448242,0.029338836669921875,0.4,0.85
6,3000,Trust in the lambda-Calculus.,1581472742,journals/jfp/OrbaekP97,"(12, '-', 11)",129778.65161514282,Match,0.005634784698486328,0.007843017578125,0.013806819915771484,0.4,0.85
6,3000,On the positive definite solution of a class of pair of nonlinear matrix equations.,2048982440,journals/cam/AliH20,"(39, '-', 29)",129778.65161514282,Match,0.02346348762512207,0.03139472007751465,0.05605363845825195,0.4,0.85
6,3000,CRISP: cooperation among smartphones to improve indoor position information.,1581476040,journals/winet/QiuM18,"(42, '-', 16)",129778.65161514282,Match,0.020070552825927734,0.026941776275634766,0.04808926582336426,0.4,0.85
6,3000,Term-based composition of security protocols,2156995243,journals/corr/abs-0908-3083,"(18, '-', 14)",129778.65161514282,Match,0.015017032623291016,0.02444601058959961,0.040410518646240234,0.4,0.85
6,3000,Object-oriented modelling with unified modelling language 2.0 for simple software application based on agile methodology.,2191055350,journals/behaviourIT/Warnars11,"(60, '-', 14)",129778.65161514282,Match,0.026553630828857422,0.0393679141998291,0.06747984886169434,0.4,0.85
6,3000,Cryptology column.,2048991867,journals/sigact/Brassard89,"(9, '-', 5)",129778.65161514282,Match,0.0008862018585205078,0.001068115234375,0.002012014389038086,0.4,0.85
6,3000,Energy-efficient cooperative MIMO routing in wireless sensor networks.,2157008129,conf/icon/HeTS12,"(24, '-', 25)",129778.65161514282,Match,0.01867985725402832,0.020987749099731445,0.040491580963134766,0.4,0.85
