k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Stereoscopic Capture in Projection Mapping.,2895939007,journals/access/OkutaniTIS18,"(13, '-', 17)",129415.55919146538,Match,0.013294696807861328,0.015433311462402344,0.029378890991210938,0.4,0.85
6,3000,"A universally fastest algorithm for Max 2-Sat, Max 2-CSP, and everything in between.",2895952552,journals/jcss/GaspersS12,"(35, '-', 35)",129415.55919146538,Match,0.011819839477539062,0.01847982406616211,0.031076908111572266,0.4,0.85
6,3000,Linearizable Replicated State Machines With Lattice Agreement.,2895959641,conf/opodis/ZhengGK19,"(18, '-', 26)",129415.55919146538,Match,0.023839473724365234,0.030826807022094727,0.05593729019165039,0.4,0.85
6,3000,Correction to: Equilibrium and pricing analysis for an unreliable retrial queue with limited idle period and single vacation.,2900023794,journals/or/GaoDW21a,"(83, '-', 25)",129415.55919146538,Match,0.028876781463623047,0.034380435943603516,0.06458497047424316,0.4,0.85
6,3000,Segment representations with small resolution.,2895962545,journals/corr/abs-1810-07072,"(20, '-', 8)",129415.55919146538,Match,0.011274576187133789,0.019359350204467773,0.03146815299987793,0.4,0.85
6,3000,Topic representation: Finding more representative words in topic models.,2895966686,journals/prl/ChiOLDLW19,"(42, '-', 12)",129415.55919146538,Match,0.013933897018432617,0.01970529556274414,0.03441977500915527,0.4,0.85
6,3000,A call to arms.,2900038941,journals/queue/GrayC05,"(8, '-', 5)",129415.55919146538,Match,0.00024056434631347656,0.00020742416381835938,0.0004646778106689453,0.4,0.85
6,3000,Learning attention modules for visual tracking.,2895979306,journals/sivp/WangMDW22,"(19, '-', 14)",129415.55919146538,Match,0.014632701873779297,0.01893782615661621,0.034320831298828125,0.4,0.85
6,3000,Queueing in the mist: Buffering and scheduling with limited knowledge.,2895980376,conf/iwqos/CohenS17,"(32, '-', 14)",129415.55919146538,Match,0.01453089714050293,0.020615816116333008,0.03595328330993652,0.4,0.85
6,3000,Co-manifold learning with missing data.,2895981434,conf/icml/MishneCC19,"(19, '-', 12)",129415.55919146538,Match,0.0076634883880615234,0.011286497116088867,0.019404888153076172,0.4,0.85
6,3000,Gradual type theory.,2900045822,journals/jfp/NewLA21,"(13, '-', 14)",129415.55919146538,Match,0.0030727386474609375,0.0045049190521240234,0.0077669620513916016,0.4,0.85
6,3000,Adaptivity of deep ReLU network for learning in Besov and mixed smooth Besov spaces: optimal rate and curse of dimensionality.,2895992958,conf/iclr/Suzuki19,"(58, '-', 17)",129415.55919146538,Match,0.02672266960144043,0.03946709632873535,0.06771659851074219,0.4,0.85
6,3000,Flexible disk scheduling for multimedia presentation servers.,2900053074,conf/icon/EmildaJDP02,"(30, '-', 13)",129415.55919146538,Match,0.019394397735595703,0.01940464973449707,0.039585113525390625,0.4,0.85
6,3000,Flexible failure detection and fast reroute using eBPF and SRv6.,2896000360,conf/cnsm/XhonneuxB18,"(30, '-', 11)",129415.55919146538,Match,0.008455991744995117,0.01493382453918457,0.02398538589477539,0.4,0.85
6,3000,Pythagorean fuzzy Dombi aggregation operators and its applications in multiple attribute decision-making.,2896010100,journals/ijis/JanaSP19,"(43, '-', 41)",129415.55919146538,Match,0.042351722717285156,0.04603886604309082,0.09012746810913086,0.4,0.85
6,3000,Acknowledgement to reviewers.,2900069266,journals/ors/X21a,"(17, '-', 17)",129415.55919146538,Match,0.007233142852783203,0.009691238403320312,0.01733112335205078,0.4,0.85
6,3000,BioSentVec: creating sentence embeddings for biomedical texts.,2896016608,conf/ichi/ChenPL19,"(38, '-', 20)",129415.55919146538,Match,0.020795822143554688,0.026665210723876953,0.04848313331604004,0.4,0.85
6,3000,Stability conditions for a decentralised medium access algorithm: single- and multi-hop networks.,2896017270,journals/corr/abs-1810-08711,"(45, '-', 16)",129415.55919146538,Match,0.021274805068969727,0.027693748474121094,0.050063133239746094,0.4,0.85
