k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Experiences and challenges in building a data intensive system for data migration.,2588792468,conf/icse/ScavuzzoNA18,"(45, '-', 17)",129497.17356109619,Match,0.02838897705078125,0.04041624069213867,0.07044816017150879,0.4,0.85
6,3000,Making sensor networks intelligent.,133074762,conf/icinco/SapatySF07,"(16, '-', 10)",129497.17356109619,Match,0.012178182601928711,0.015595674514770508,0.028388500213623047,0.4,0.85
6,3000,Detecting malicious COVID-19 URLs using machine learning techniques.,2588813228,conf/percom/IspahanyI21,"(26, '-', 23)",129497.17356109619,Match,0.020016193389892578,0.01914525032043457,0.0399019718170166,0.4,0.85
6,3000,Unifying and targeting cultural activities via events modelling and profiling.,2047923648,conf/mm/MannensCPGDW09,"(52, '-', 14)",129497.17356109619,Match,0.0273129940032959,0.034683942794799805,0.06334757804870605,0.4,0.85
6,3000,Discounted deterministic Markov decision processes and discounted all-pairs shortest paths.,1926512578,conf/soda/MadaniTZ09,"(69, '-', 22)",129497.17356109619,Match,0.031095266342163086,0.03771328926086426,0.07023906707763672,0.4,0.85
6,3000,"Humans, machines, and the future of work.",2224690780,conf/birthday/Vardi15,"(16, '-', 13)",129497.17356109619,Match,0.017382144927978516,0.02460193634033203,0.04291272163391113,0.4,0.85
6,3000,SGRT: a scalable mobile GPU architecture based on ray tracing.,2224700054,conf/siggraph/LeeLNKSLJ12a,"(27, '-', 8)",129497.17356109619,Match,0.010157108306884766,0.015213251113891602,0.025960922241210938,0.4,0.85
6,3000,Brauchen wir eine Theorie der Informatik?,133191208,conf/fiff/Coy89,"(19, '-', 12)",129497.17356109619,Match,0.005481243133544922,0.01053619384765625,0.016444683074951172,0.4,0.85
6,3000,Integrating multiple cues for spoken language understandin.,2047938239,conf/chi/Ward95,"(30, '-', 17)",129497.17356109619,Match,0.015576362609863281,0.02485060691833496,0.04147481918334961,0.4,0.85
6,3000,Integrality and arithmeticity of solvable linear groups.,2047938516,journals/jsc/DetinkoFG15,"(38, '-', 12)",129497.17356109619,Match,0.015966176986694336,0.024307966232299805,0.04127383232116699,0.4,0.85
6,3000,Growing documentary: creating a collaborative computer-supported story telling environment.,2224718236,conf/siggraph/BhimaniMASO12,"(47, '-', 11)",129497.17356109619,Match,0.02788519859313965,0.03404116630554199,0.06323432922363281,0.4,0.85
6,3000,Parameters optimization for cooperative sensing in multi-channel cognitive radio networks.,1926695619,conf/chinacom/YangLBD11,"(38, '-', 21)",129497.17356109619,Match,0.023230314254760742,0.0349268913269043,0.05947303771972656,0.4,0.85
6,3000,Non-idealities in linear CDR phase detectors.,1926748815,conf/ecctd/CaoHG11,"(19, '-', 10)",129497.17356109619,Match,0.011564493179321289,0.019009113311767578,0.03130698204040527,0.4,0.85
6,3000,Configurable low noise readout front-end for gaseous detectors in 130nm CMOS technology.,2224740634,conf/iscas/HernandezNM15,"(52, '-', 12)",129497.17356109619,Match,0.018642902374267578,0.0249936580657959,0.04460906982421875,0.4,0.85
6,3000,Belief functions on lattices.,2047949335,journals/ijis/Grabisch09,"(17, '-', 12)",129497.17356109619,Match,0.012040376663208008,0.015989303588867188,0.02866983413696289,0.4,0.85
6,3000,Three-coloring triangle-free graphs on surfaces VII. A linear-time algorithm.,2224744876,journals/corr/DvorakK016,"(29, '-', 25)",129497.17356109619,Match,0.014371156692504883,0.025079727172851562,0.04040813446044922,0.4,0.85
6,3000,The combinatorial (19_4) configurations.,1926781288,journals/arsmc/OsunaC12,"(12, '-', 10)",129497.17356109619,Match,0.013139486312866211,0.015752792358398438,0.029494524002075195,0.4,0.85
6,3000,A first course in genetic programming.,2047951793,conf/iticse/Pillay04,"(24, '-', 12)",129497.17356109619,Match,0.009873151779174805,0.012635469436645508,0.023050546646118164,0.4,0.85
