k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Optical fiber communications.,2813996186,journals/pieee/Sunak85,"(11, '-', 15)",130100.34292554855,Match,0.008045196533203125,0.010722637176513672,0.019213199615478516,0.4,0.85
6,3000,Multi-task dialog act and sentiment recognition on Mastodon.,2814083069,conf/coling/CerisaraJOL18,"(31, '-', 15)",130100.34292554855,Match,0.01570725440979004,0.014613151550292969,0.03099822998046875,0.4,0.85
6,3000,Optical fiber communications.,2814352836,journals/pieee/Sunak85,"(11, '-', 15)",130100.34292554855,Match,0.007998943328857422,0.010310888290405273,0.018761157989501953,0.4,0.85
6,3000,ATR HMM-LR continuous speech recognition system.,2814676935,conf/icassp/HanazawaKNKS90,"(16, '-', 16)",130100.34292554855,Match,0.011066198348999023,0.011532068252563477,0.023122549057006836,0.4,0.85
6,3000,Content management systems.,2815067349,journals/lht/Seadle06,"(9, '-', 9)",130100.34292554855,Match,0.008037090301513672,0.010820388793945312,0.019317150115966797,0.4,0.85
6,3000,Vorwort des Herausgebers.,2815109657,journals/astawsa/Munnich15a,"(12, '-', 12)",130100.34292554855,Match,0.00022912025451660156,0.00016832351684570312,0.00041103363037109375,0.4,0.85
6,3000,Spatio-temporal variations in the urban rhythm: the travelling waves of crime.,2815296963,journals/epjds/OliveiraRFM18,"(41, '-', 12)",130100.34292554855,Match,0.015141010284423828,0.026737213134765625,0.04294562339782715,0.4,0.85
6,3000,Photovoltaic power generation.,2815501247,journals/pieee/Schwartz93,"(17, '-', 18)",130100.34292554855,Match,0.004791259765625,0.0051724910736083984,0.010180473327636719,0.4,0.85
6,3000,Spread spectrum communications.,2815546177,journals/jasis/Sharma86,"(14, '-', 14)",130100.34292554855,Match,0.015081644058227539,0.017127513885498047,0.03287935256958008,0.4,0.85
6,3000,Conversational Informatics: Toward Cultivating Wisdom from Conversational Interaction.,2731200938,conf/kes/Nishida15,"(33, '-', 26)",130100.34292554855,Match,0.040264129638671875,0.04341626167297363,0.08540821075439453,0.4,0.85
