k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Automatic gain control.,2830980004,conf/icassp/KangL84,"(9, '-', 9)",129284.95547389984,Match,0.0029015541076660156,0.005307912826538086,0.00844883918762207,0.4,0.85
6,3000,Optical fiber communications.,2830986936,journals/pieee/Sunak85,"(11, '-', 15)",129284.95547389984,Match,0.008210182189941406,0.009345293045043945,0.018001556396484375,0.4,0.85
6,3000,Robust adaptive control for a class of MIMO nonlinear systems.,2350733892,conf/cdc/XuI02,"(21, '-', 28)",129284.95547389984,Match,0.021780014038085938,0.02675461769104004,0.04959464073181152,0.4,0.85
6,3000,"Yesterday, today, and tomorrow.",2411002926,journals/sigcas/Rosenberg99,"(11, '-', 12)",129284.95547389984,Match,0.0008945465087890625,0.0013399124145507812,0.0023031234741210938,0.4,0.85
6,3000,Secure data aggregation in wireless sensor networks.,857034687,conf/medhocnet/OthmanTYA13,"(23, '-', 25)",129284.95547389984,Match,0.020426034927368164,0.025625228881835938,0.04706144332885742,0.4,0.85
6,3000,An elliptical basis function network for classification of remote-sensing images.,2350840383,conf/igarss/LuoC0LLM03,"(35, '-', 20)",129284.95547389984,Match,0.01775670051574707,0.02428889274597168,0.04302525520324707,0.4,0.85
6,3000,Towards Quantifiable Eventual Consistency.,2350867629,conf/closer/MaiaMC16,"(12, '-', 15)",129284.95547389984,Match,0.01713871955871582,0.023860454559326172,0.04193305969238281,0.4,0.85
6,3000,Adaptivit&auml;t und Benutzermodellierung in interaktiven Softwaresystemen.,2350889955,conf/ki/KobsaP93,"(33, '-', 28)",129284.95547389984,Match,0.01241612434387207,0.020067691802978516,0.03328752517700195,0.4,0.85
6,3000,On exact algorithms for single-machine scheduling problems with a variable maintenance.,2411091742,journals/candie/WangLX17,"(39, '-', 22)",129284.95547389984,Match,0.02371072769165039,0.02549004554748535,0.05017876625061035,0.4,0.85
6,3000,Bit-interleaved coded modulation with iterative decoding.,2351051508,conf/icc/LiR99,"(30, '-', 20)",129284.95547389984,Match,0.015783309936523438,0.023175716400146484,0.039963483810424805,0.4,0.85
6,3000,Examples of Quantum Dynamics in Optomechanical Systems.,2411126682,conf/quantumcomm/LudwigHM09,"(15, '-', 17)",129284.95547389984,Match,0.02157878875732422,0.029129505157470703,0.0518803596496582,0.4,0.85
6,3000,Letter to the editor.,2411168262,journals/di/Nikkel05a,"(11, '-', 12)",129284.95547389984,Match,0.0045623779296875,0.008014440536499023,0.012906312942504883,0.4,0.85
6,3000,"DSLs: the good, the bad, and the ugly.",2411197253,conf/oopsla/GrayFCKMT08,"(11, '-', 11)",129284.95547389984,Match,0.0019745826721191406,0.0037174224853515625,0.005845785140991211,0.4,0.85
6,3000,Oscillation of second-order sublinear neutral delay difference equations.,2351364074,journals/amc/LiS03,"(33, '-', 22)",129284.95547389984,Match,0.023131847381591797,0.028663158416748047,0.05290508270263672,0.4,0.85
6,3000,Erratum to: Higher-order optimality conditions for weakly efficient solutions in nonconvex set-valued optimization.,2351387322,journals/ol/WangLT12,"(48, '-', 18)",129284.95547389984,Match,0.018685340881347656,0.028412342071533203,0.04821491241455078,0.4,0.85
6,3000,Evaluating balance on social networks from their simple cycles.,2411258648,journals/corr/GiscardRW16,"(38, '-', 13)",129284.95547389984,Match,0.029135942459106445,0.0369112491607666,0.06753063201904297,0.4,0.85
6,3000,Nonuniform Lowness and Strong Nonuniform Lowness.,867121551,conf/isaac/LiL94,"(21, '-', 12)",129284.95547389984,Match,0.010062217712402344,0.011307239532470703,0.021831989288330078,0.4,0.85
6,3000,Bandwidth allocation in cellular networks with multiple interferences.,869726442,conf/dialm/Bar-YehudaPR10,"(33, '-', 13)",129284.95547389984,Match,0.020696163177490234,0.028821706771850586,0.0506744384765625,0.4,0.85
6,3000,Incorporating long-range consistency in CNN-based texture generation.,2411441121,conf/iclr/BergerM17,"(36, '-', 13)",129284.95547389984,Match,0.025125503540039062,0.030869722366333008,0.05721759796142578,0.4,0.85
6,3000,"Yesterday, today, and tomorrow.",2411450705,journals/sigcas/Rosenberg99,"(11, '-', 12)",129284.95547389984,Match,0.0008828639984130859,0.0010678768157958984,0.0020198822021484375,0.4,0.85
6,3000,A physical approach to color image understanding.,2352067407,books/daglib/0018080,"(21, '-', 9)",129284.95547389984,Match,0.007683992385864258,0.012900590896606445,0.021106243133544922,0.4,0.85
6,3000,&#947;-Connectedness in fuzzy topological spaces.,2352150538,journals/ijflis/Hanafy03a,"(25, '-', 16)",129284.95547389984,Match,0.021603822708129883,0.027943134307861328,0.050665855407714844,0.4,0.85
6,3000,Robust adaptive detection of buried pipes using GPR.,2411632266,conf/eusipco/HoarauGANO16,"(26, '-', 8)",129284.95547389984,Match,0.009801149368286133,0.016667604446411133,0.027148962020874023,0.4,0.85
6,3000,On computing of arbitrary positive integer powers for one type of odd order tridiagonal matrices with zero row - II.,2352350282,journals/amc/Rimas06b,"(73, '-', 63)",129284.95547389984,Match,0.030530929565429688,0.04337477684020996,0.07561588287353516,0.4,0.85
6,3000,3D-IC partitioning method based on genetic algorithm.,2352412390,journals/iet-cds/MeiteiBT20,"(22, '-', 14)",129284.95547389984,Match,0.015911102294921875,0.018265485763549805,0.03489065170288086,0.4,0.85
6,3000,Channel estimation in OFDM systems using neural network technology combined with a genetic algorithm.,877915284,journals/soco/ChengHC16,"(41, '-', 15)",129284.95547389984,Match,0.027983665466308594,0.033155202865600586,0.06244182586669922,0.4,0.85
6,3000,Integrated project support environments.,2411699426,journals/iam/Brown88,"(19, '-', 15)",129284.95547389984,Match,0.012021064758300781,0.017353057861328125,0.030076026916503906,0.4,0.85
6,3000,New approaches for solving the resource-constrained project scheduling problem.,2352529800,journals/4or/Kone12,"(24, '-', 33)",129284.95547389984,Match,0.021551132202148438,0.03012394905090332,0.052861690521240234,0.4,0.85
6,3000,A call to arms.,2411717370,journals/queue/GrayC05,"(8, '-', 5)",129284.95547389984,Match,0.00022268295288085938,0.00020813941955566406,0.0004475116729736328,0.4,0.85
