k,num_removed_kmers,candidate_paper_title,candidate_mag_id,candidate_dblp_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
6,3000,Stand der Technik.,2495035816,journals/dud/Knopp17,"(5, '-', 5)",129529.29334616661,Match,0.0034263134002685547,0.006739616394042969,0.010444164276123047,0.4,0.85
6,3000,Formalizing Mathematical Knowledge as a Biform Theory Graph: A Case Study.,2605703278,journals/corr/CaretteF17,"(14, '-', 15)",129529.29334616661,Match,0.03276324272155762,0.03702402114868164,0.07121515274047852,0.4,0.85
6,3000,Games on networks.,2495047435,journals/pieee/Olafsson97,"(6, '-', 8)",129529.29334616661,Match,0.0027937889099121094,0.003703594207763672,0.0066874027252197266,0.4,0.85
6,3000,An integrated design of a smartphone interface with multiple image processing methods to reduce shining light from a digital projector.,2495082592,conf/icce-berlin/BaiL15,"(85, '-', 16)",129529.29334616661,Match,0.045020341873168945,0.057138681411743164,0.10433363914489746,0.4,0.85
6,3000,Banking and finance.,2495082828,journals/clsr/Railton86c,"(9, '-', 10)",129529.29334616661,Match,0.006094455718994141,0.011794805526733398,0.018371105194091797,0.4,0.85
6,3000,Welcome from the TPC chairs.,2605727885,conf/onlinegreencomm/QuittekAC11,"(12, '-', 11)",129529.29334616661,Match,0.012938499450683594,0.014332771301269531,0.027850866317749023,0.4,0.85
6,3000,Conference summary.,2246491082,conf/aieeire/Forrester55,"(8, '-', 8)",129529.29334616661,Match,0.002312898635864258,0.0037505626678466797,0.006220340728759766,0.4,0.85
6,3000,Variance reduction techniques.,2495106992,conf/wsc/LavenbergW78,"(13, '-', 13)",129529.29334616661,Match,0.010159969329833984,0.012769699096679688,0.02344489097595215,0.4,0.85
6,3000,Letter from the editor.,2605744307,journals/ami/X94s,"(11, '-', 11)",129529.29334616661,Match,0.011981487274169922,0.011640310287475586,0.024093151092529297,0.4,0.85
6,3000,Model-driven performance prediction of systems of systems.,2495120987,conf/models/FalknerSC16,"(28, '-', 13)",129529.29334616661,Match,0.013865470886230469,0.02117180824279785,0.03584742546081543,0.4,0.85
6,3000,Stability of the stochastic matching model.,2246513632,journals/jap/MairesseM16,"(17, '-', 12)",129529.29334616661,Match,0.012518882751464844,0.018591642379760742,0.031861066818237305,0.4,0.85
6,3000,"Correction to: Effects of workload, work complexity, and repeated alerts on alert fatigue in a clinical decision support system.",2605753964,journals/midm/AnckerENHMK19,"(77, '-', 26)",129529.29334616661,Match,0.03267049789428711,0.044829368591308594,0.07927966117858887,0.4,0.85
6,3000,Evaluation of digital libraries.,2605758931,journals/jodl/FuhrTAAHKKKLMPPS07,"(15, '-', 14)",129529.29334616661,Match,0.008323907852172852,0.011821746826171875,0.02061319351196289,0.4,0.85
6,3000,Devolutionary genetic algorithms with application to the minimum labeling Steiner tree problem.,2605775180,journals/evs/Dehouche18,"(44, '-', 15)",129529.29334616661,Match,0.018517255783081055,0.02732563018798828,0.04688858985900879,0.4,0.85
6,3000,Coming of age.,2605813712,journals/trob/Bekey87,"(5, '-', 6)",129529.29334616661,Match,0.0023550987243652344,0.004094123840332031,0.0066187381744384766,0.4,0.85
6,3000,Direct and mediating influences of user-developer perception gaps in requirements understanding on user participation.,2605826412,journals/corr/abs-1711-07880,"(73, '-', 21)",129529.29334616661,Match,0.03921389579772949,0.0523836612701416,0.09360551834106445,0.4,0.85
6,3000,Letter to the editor.,2605831841,journals/di/Nikkel05a,"(11, '-', 12)",129529.29334616661,Match,0.004888772964477539,0.008403778076171875,0.013622522354125977,0.4,0.85
6,3000,List of contributors.,2495283778,books/cu/p/X16i,"(12, '-', 9)",129529.29334616661,Match,0.005750179290771484,0.008569478988647461,0.014644622802734375,0.4,0.85
6,3000,Importance sampling strategy for non-convex randomized block-coordinate descent.,2246614765,conf/camsap/FlamaryRG15,"(48, '-', 17)",129529.29334616661,Match,0.03224658966064453,0.04059457778930664,0.07435154914855957,0.4,0.85
6,3000,Elektrische Maschinen und Antriebe.,2495297956,journals/ei/Neudorfer15,"(16, '-', 16)",129529.29334616661,Match,0.001218557357788086,0.0015244483947753906,0.0028197765350341797,0.4,0.85
6,3000,An investigation of computer literacy as a function of attitude.,2605855613,conf/sigcse/WilsonT81,"(33, '-', 11)",129529.29334616661,Match,0.013549566268920898,0.017824411392211914,0.03205609321594238,0.4,0.85
6,3000,An empirical analysis of the Docker container ecosystem on GitHub.,2605856244,journals/peerjpre/CitoSWLZG17,"(29, '-', 13)",129529.29334616661,Match,0.015967130661010742,0.021921634674072266,0.038732051849365234,0.4,0.85
6,3000,FrankenFolk: Distinctiveness and Attractiveness of Voice and Motion.,2495365517,journals/tap/OndrejEMO16,"(28, '-', 19)",129529.29334616661,Match,0.01992034912109375,0.0190126895904541,0.039659976959228516,0.4,0.85
6,3000,Time series prediction using Lyapunov exponents in embedding phase space.,2495376818,conf/smc/ZhangMK98,"(39, '-', 14)",129529.29334616661,Match,0.015294313430786133,0.02274036407470703,0.03892993927001953,0.4,0.85
6,3000,Acknowledgement to reviewers.,2605890993,journals/ors/X21a,"(13, '-', 13)",129529.29334616661,Match,0.005407571792602539,0.007155656814575195,0.012928009033203125,0.4,0.85
6,3000,Constructions of optimal LCD codes over large finite fields.,2605912963,journals/corr/SokSS17,"(29, '-', 19)",129529.29334616661,Match,0.012402772903442383,0.0182797908782959,0.031401872634887695,0.4,0.85
6,3000,Gr&uuml;nbaum coloring and its generalization to arbitrary dimension.,2495432011,journals/ajc/LawrencenkoVZ17,"(31, '-', 11)",129529.29334616661,Match,0.012918233871459961,0.01548624038696289,0.029006004333496094,0.4,0.85
6,3000,A probabilistic data-driven model for planar pushing.,2605916268,conf/icra/BauzaR17,"(25, '-', 14)",129529.29334616661,Match,0.010568857192993164,0.018136024475097656,0.029444217681884766,0.4,0.85
6,3000,Letter to the editor.,2605921456,journals/di/Nikkel05a,"(11, '-', 12)",129529.29334616661,Match,0.004656791687011719,0.007628440856933594,0.01261591911315918,0.4,0.85
6,3000,Arithmetics in numeration systems with negative quadratic base.,2605947916,journals/kybernetika/MasakovaV11,"(42, '-', 15)",129529.29334616661,Match,0.02295088768005371,0.02285170555114746,0.046707868576049805,0.4,0.85
6,3000,C-RoFN: multi-stratum resources optimization for cloud-based radio over optical fiber networks.,2495496882,journals/cm/YangZJL16,"(44, '-', 11)",129529.29334616661,Match,0.014274835586547852,0.02305459976196289,0.03822946548461914,0.4,0.85
6,3000,Monotone drawings of graphs with few directions.,2246774873,conf/iisa/Angelini15,"(32, '-', 12)",129529.29334616661,Match,0.009596824645996094,0.011332511901855469,0.021469593048095703,0.4,0.85
6,3000,Curating GitHub for engineered software projects.,2605988416,journals/peerjpre/MunaiahKCN16,"(25, '-', 25)",129529.29334616661,Match,0.010325908660888672,0.012510538101196289,0.023416519165039062,0.4,0.85
6,3000,Are virtual learning environments appropriate for dyscalculic students? A theoretical approach on design optimization of virtual worlds used in mixed-reality simulators.,2605996677,conf/gamesem/LenzRSJ15a,"(107, '-', 19)",129529.29334616661,Match,0.0570225715637207,0.068206787109375,0.12778663635253906,0.4,0.85
6,3000,Prototype of Conversation Support System for Activating Group Conversation in the Vehicle.,2495589006,conf/hci/KonoWI16,"(31, '-', 28)",129529.29334616661,Match,0.041240692138671875,0.03596663475036621,0.07863712310791016,0.4,0.85
6,3000,Space complexity of list <i>H</i>-colouring: a dichotomy.,2495593369,conf/soda/EgriHLR14,"(21, '-', 8)",129529.29334616661,Match,0.009307146072387695,0.017647504806518555,0.027634859085083008,0.4,0.85
6,3000,Tilt estimator for 3D non-rigid pendulum based on a tri-axial accelerometer and gyrometer.,2606006543,conf/humanoids/BenallegueBC17,"(57, '-', 16)",129529.29334616661,Match,0.023122072219848633,0.031362056732177734,0.055716514587402344,0.4,0.85
6,3000,On Generation of Active Feedback with Electrostatic Attraction.,2495630282,conf/haptics/AlmaIS16,"(12, '-', 13)",129529.29334616661,Match,0.014863967895507812,0.023493289947509766,0.03930163383483887,0.4,0.85
6,3000,Vorwort der Herausgeber.,2495665677,journals/astawsa/Zwick19,"(11, '-', 11)",129529.29334616661,Match,0.00023126602172851562,0.00018739700317382812,0.0004343986511230469,0.4,0.85
6,3000,Sharp kernel clustering algorithms and their associated Grothendieck inequalities.,2495669089,journals/rsa/KhotN13,"(49, '-', 19)",129529.29334616661,Match,0.026895761489868164,0.033449649810791016,0.06160879135131836,0.4,0.85
6,3000,Categorical Harmony and Path Induction.,2606054052,journals/rsl/Walsh17,"(11, '-', 16)",129529.29334616661,Match,0.01142573356628418,0.01870894432067871,0.030843734741210938,0.4,0.85
6,3000,Stand der Technik.,2495698869,journals/dud/Knopp17,"(5, '-', 5)",129529.29334616661,Match,0.0034093856811523438,0.007075071334838867,0.010763168334960938,0.4,0.85
6,3000,Short lists with short programs in short time.,2606059309,journals/cc/BauwensMVZ18,"(39, '-', 39)",129529.29334616661,Match,0.008916616439819336,0.01255345344543457,0.022009849548339844,0.4,0.85
6,3000,Introduction and overview.,2495725524,journals/jasis/Hurd00,"(8, '-', 8)",129529.29334616661,Match,0.005399465560913086,0.007575273513793945,0.013276338577270508,0.4,0.85
6,3000,The FO2 alternation hierarchy is decidable.,2246901391,conf/csl/KufleitnerW12,"(25, '-', 13)",129529.29334616661,Match,0.006174802780151367,0.010121345520019531,0.016704320907592773,0.4,0.85
6,3000,Fault diagnosis for dynamical systems using soft computing.,2495730173,conf/smc/SatohSD01,"(32, '-', 16)",129529.29334616661,Match,0.024331092834472656,0.033899784088134766,0.05955314636230469,0.4,0.85
6,3000,arXiv E-prints and the journal of record: An analysis of roles and relationships.,2606079500,journals/jasis/LariviereSMMCT14,"(39, '-', 13)",129529.29334616661,Match,0.02206707000732422,0.029744386672973633,0.052945852279663086,0.4,0.85
6,3000,On the connectivity of k-distance graphs.,2606106722,journals/ejgta/Khormali17,"(16, '-', 11)",129529.29334616661,Match,0.014230012893676758,0.02132272720336914,0.03635907173156738,0.4,0.85
6,3000,<i>C</i>-eigenvalues intervals for piezoelectric-type tensors.,2606108344,journals/amc/LiLL19a,"(35, '-', 16)",129529.29334616661,Match,0.018535614013671875,0.027509689331054688,0.04708147048950195,0.4,0.85
6,3000,Summary and Conclusions.,2495799269,books/ox/13/ConteAC13,"(9, '-', 9)",129529.29334616661,Match,0.007239580154418945,0.009360551834106445,0.01701498031616211,0.4,0.85
6,3000,Using Zero Moment Point preview control formulation to generate nonlinear trajectories of walking patterns on humanoid robots.,2246999272,conf/fskd/HwangTCC15,"(73, '-', 27)",129529.29334616661,Match,0.036341190338134766,0.05187559127807617,0.09016776084899902,0.4,0.85
6,3000,A workflow runtime environment for manycore parallel architectures.,2246999999,conf/sc/JanetschekPB15,"(39, '-', 14)",129529.29334616661,Match,0.01594376564025879,0.01827692985534668,0.03492999076843262,0.4,0.85
6,3000,Intelligent voice smoother for silence-suppressed voice over Internet.,2495882522,conf/icc/TienY98,"(43, '-', 13)",129529.29334616661,Match,0.013276338577270508,0.01894378662109375,0.03295636177062988,0.4,0.85
6,3000,Clinical code set engineering for reusing EHR data for research: A review.,2606183901,conf/amia/WilliamsKBP17,"(41, '-', 13)",129529.29334616661,Match,0.028685569763183594,0.034258365631103516,0.06436610221862793,0.4,0.85
6,3000,Simply Exponential Approximation of the Permanent of Positive Semidefinite Matrices.,2606194621,conf/focs/AnariGGS17,"(18, '-', 22)",129529.29334616661,Match,0.02205824851989746,0.03185582160949707,0.05513453483581543,0.4,0.85
