k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Fuzzy soft rings and fuzzy soft ideals,journals/nca/InanO12,10.1.1.419.5833,15077274,"(40, '-', 10)",97693.01523971558,Match,0.003175973892211914,0.0023293495178222656,0.005625724792480469,0.4,0.85
7,5000,Improved transmission of vector quantized data over noisy,journals/nca/LeungSC08,10.1.1.414.9471,27766067,"(39, '-', 17)",97693.01523971558,Match,0.0071392059326171875,0.005423307418823242,0.012833833694458008,0.4,0.85
7,5000,Gaussian Mixture Models and Probabilistic Decision-Based Neural Networks for Pattern Classification: A Comparative Study,journals/nca/YiuML99,10.1.1.42.3686,147052,"(50, '-', 50)",97693.01523971558,Match,0.018607378005981445,0.013297557830810547,0.0325319766998291,0.4,0.85
7,5000,Book Review,journals/nca/X00a,10.1.1.10.1728,8634079,"(4, '-', 4)",97693.01523971558,Match,0.000396728515625,0.00013327598571777344,0.0005424022674560547,0.4,0.85
7,5000,Histogram Features-Based Fisher Linear Discriminant for Face Detection,journals/nca/WangLZ08,10.1.1.98.6238,5506362,"(16, '-', 35)",97693.01523971558,Match,0.0066721439361572266,0.005120515823364258,0.012054443359375,0.4,0.85
7,5000,Efficient Detection of Spurious Inputs for Improving the Robustness of MLP Networks in Practical Applications,journals/nca/VasconcelosFB95,10.1.1.55.5950,3234777,"(59, '-', 15)",97693.01523971558,Match,0.015807390213012695,0.011157035827636719,0.027529239654541016,0.4,0.85
7,5000,Combining Linear Discriminant Functions with Neural Networks for Supervised Learning,journals/nca/ChenYC97,10.1.1.40.2982,878384,"(38, '-', 38)",97693.01523971558,Match,0.014123916625976562,0.009853839874267578,0.024453163146972656,0.4,0.85
7,5000,Neural Q-learning,journals/nca/HagenK03,10.1.1.73.8576,748225,"(8, '-', 3)",97693.01523971558,Match,0.0003418922424316406,0.0002090930938720703,0.0005679130554199219,0.4,0.85
7,5000,Evolving Fault-Tolerant Neural Networks,journals/nca/ZhouC03,10.1.1.19.1117,8548553,"(20, '-', 14)",97693.01523971558,Match,0.0053288936614990234,0.002657175064086914,0.008125543594360352,0.4,0.85
7,5000,Neural Network Based Wind Vector Retrieval from Satellite Scatterometer Data,journals/nca/CornfordNB99,10.1.1.115.5591,2307777,"(46, '-', 17)",97693.01523971558,Match,0.00823354721069336,0.005455970764160156,0.013959884643554688,0.4,0.85
7,5000,Book Review,journals/nca/Mooney99,10.1.1.10.1728,8634079,"(4, '-', 4)",97693.01523971558,Match,0.0003871917724609375,0.0001678466796875,0.0005674362182617188,0.4,0.85
7,5000,A Discrete-Event Neural Network Simulator for General Neuron Models,journals/nca/Makino03,10.1.1.18.4388,1750203,"(38, '-', 31)",97693.01523971558,Match,0.01096343994140625,0.008155345916748047,0.01950383186340332,0.4,0.85
7,5000,Dealing with Missing Values in Neural Network-Based Diagnostic Systems,journals/nca/SharpeS95,10.1.1.53.5602,2293207,"(45, '-', 20)",97693.01523971558,Match,0.013445615768432617,0.009455204010009766,0.023357152938842773,0.4,0.85
7,5000,Winner-Take-All Network Utilising Pseudoinverse Reconstruction Subnets Demonstrates Robustness on the Handprinted Character Recognition Problem,journals/nca/Kormendy-RaczSLAKL99,10.1.1.1.1484,9074107,"(100, '-', 14)",97693.01523971558,Match,0.01454782485961914,0.010831117630004883,0.025914907455444336,0.4,0.85
