k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,  Service Interruptions In Large-Scale Service Systems,journals/mansci/PangW09,10.1.1.139.5033,9071368,"(27, '-', 27)",94762.2472383976,Match,0.00988006591796875,0.013415336608886719,0.023569583892822266,0.4,0.85
7,5000,Designing Pricing Contracts for Boundedly Rational Customers: Does the Framing of the Fixed Fee,journals/mansci/HoZ08,10.1.1.307.5298,13818668,"(71, '-', 46)",94762.2472383976,Match,0.019359827041625977,0.01642584800720215,0.0365443229675293,0.4,0.85
7,5000,Blockbuster Culture’s Next Rise or Fall: The Impact of Recommender Systems on Sales Diversity,journals/mansci/FlederH09,10.1.1.151.4663,9715668,"(61, '-', 28)",94762.2472383976,Match,0.009162187576293945,0.00781869888305664,0.017365694046020508,0.4,0.85
7,5000,A Branch-And-Price Algorithm And New Test Problems For Spectrum Auctions,journals/mansci/GunlukLV05,10.1.1.19.1727,7136783,"(31, '-', 19)",94762.2472383976,Match,0.007714986801147461,0.005057096481323242,0.013076305389404297,0.4,0.85
7,5000,Blind Queues: The Impact of Consumer Beliefs on Revenues and Congestion ∗,journals/mansci/CuiV16,10.1.1.278.7792,16985562,"(50, '-', 11)",94762.2472383976,Match,0.011071205139160156,0.007479190826416016,0.018948078155517578,0.4,0.85
7,5000, Moral Property Rights in Bargaining with Infeasible Claims,journals/mansci/GachterR05,10.1.1.180.1362,9893263,"(44, '-', 27)",94762.2472383976,Match,0.008120536804199219,0.0046384334564208984,0.013037681579589844,0.4,0.85
7,5000,How Monitoring Influences Trust: A Tale of Two Faces,journals/mansci/SchweitzerHZ18,10.1.1.307.2914,19956889,"(35, '-', 11)",94762.2472383976,Match,0.004076719284057617,0.0030565261840820312,0.007296323776245117,0.4,0.85
7,5000,Slow Dutch Auctions,journals/mansci/CarareR05,10.1.1.16.1564,1598207,"(12, '-', 7)",94762.2472383976,Match,0.0016477108001708984,0.0007979869842529297,0.002506256103515625,0.4,0.85
7,5000,Brand and Price Advertising in Online Markets,journals/mansci/BayeM09,10.1.1.183.5078,11605657,"(33, '-', 16)",94762.2472383976,Match,0.006400585174560547,0.00417637825012207,0.010835409164428711,0.4,0.85
7,5000,Are Consumers Strategic? Structural Estimation from the Air-Travel Industry,journals/mansci/LiGN14,10.1.1.220.7555,13780745,"(41, '-', 41)",94762.2472383976,Match,0.004114866256713867,0.0035004615783691406,0.007799863815307617,0.4,0.85
