k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Kinetic Data Structures,reference/crc/Guibas04,10.1.1.128.4064,7021835,"(11, '-', 11)",95306.41631793976,Match,0.003793001174926758,0.002678394317626953,0.006623268127441406,0.4,0.85
7,5000,Computer-Supported Cooperative Work,reference/crc/GrossF09,10.1.1.20.6489,4560725,"(19, '-', 19)",95306.41631793976,Match,0.003498554229736328,0.0017251968383789062,0.00533604621887207,0.4,0.85
7,5000,Mobile Agent Middlewares for Context-aware Applications,reference/crc/BellavistaVMBC04,10.1.1.58.2130,8907423,"(23, '-', 17)",95306.41631793976,Match,0.007755279541015625,0.0046443939208984375,0.012666940689086914,0.4,0.85
7,5000,Ant Colony Optimization,reference/crc/BrankeG05,10.1.1.10.7560,193174,"(10, '-', 10)",95306.41631793976,Match,0.0015711784362792969,0.0007908344268798828,0.002424955368041992,0.4,0.85
7,5000,Platform-Based Design for Embedded Systems,reference/crc/SgroiSBPC05,10.1.1.66.7365,3976078,"(22, '-', 12)",95306.41631793976,Match,0.008694887161254883,0.00431370735168457,0.013261079788208008,0.4,0.85
7,5000,The Arithmetic of Hyperelliptic Curves,reference/crc/DuquesneL05,10.1.1.182.5535,11550176,"(26, '-', 19)",95306.41631793976,Match,0.006483554840087891,0.002609729766845703,0.009257316589355469,0.4,0.85
7,5000,Internet-Based Solutions for Manufacturing Enterprise Systems Interoperability – A Standards Perspective,reference/crc/KulvatunyouJI04,10.1.1.160.8358,10357591,"(53, '-', 23)",95306.41631793976,Match,0.01660776138305664,0.008949041366577148,0.0260162353515625,0.4,0.85
7,5000,Mixed Membership Matrix Factorization,reference/crc/MackeyWJ14,10.1.1.167.5487,10653103,"(25, '-', 12)",95306.41631793976,Match,0.005886077880859375,0.002803325653076172,0.008851766586303711,0.4,0.85
7,5000,Computer Ethics,reference/crc/Tippett07,10.1.1.218.6615,13667671,"(6, '-', 6)",95306.41631793976,Match,0.00046825408935546875,0.0001785755157470703,0.0006706714630126953,0.4,0.85
7,5000,A New Two-phase Scatternet Formation Algorithm for Bluetooth Wireless Personal Area Networks,reference/crc/WongZL05,10.1.1.143.4623,4676795,"(38, '-', 38)",95306.41631793976,Match,0.00814676284790039,0.005866050720214844,0.014367103576660156,0.4,0.85
7,5000, Planar Straight-Line Drawing Algorithms,reference/crc/Vismara13,10.1.1.384.5883,4930207,"(25, '-', 25)",95306.41631793976,Match,0.002101421356201172,0.00115966796875,0.003337860107421875,0.4,0.85
7,5000, Adaptive Hypermedia and Adaptive Web,reference/crc/NejdlB04,10.1.1.67.6577,44111,"(23, '-', 23)",95306.41631793976,Match,0.006234169006347656,0.003714323043823242,0.010162830352783203,0.4,0.85
