k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Call-by-push-value,journals/siglog/Levy22,10.1.1.108.2834,1111593,"(12, '-', 11)",94951.42411470413,Match,0.00010228157043457031,5.125999450683594e-05,0.0001583099365234375,0.4,0.85
7,5000,Multidimensional poverty indices,journals/scw/Tsui02,10.1.1.383.4905,983843,"(20, '-', 12)",94951.42411470413,Match,0.00423431396484375,0.0024809837341308594,0.00684046745300293,0.4,0.85
7,5000,Scoring of web pages and tournaments— axiomatizations,journals/scw/SlutzkiV06,10.1.1.111.1863,4719441,"(33, '-', 12)",94951.42411470413,Match,0.0046901702880859375,0.0034933090209960938,0.00837397575378418,0.4,0.85
7,5000,Consistency between tastes and values: a universalization approach,journals/scw/GravelLT00,10.1.1.384.236,19386339,"(34, '-', 6)",94951.42411470413,Match,0.00700068473815918,0.005380153656005859,0.012673139572143555,0.4,0.85
7,5000,Egalitarian-equivalence and the Pareto principle for social preferences,journals/scw/Tadenuma05,10.1.1.333.38,13610864,"(47, '-', 13)",94951.42411470413,Match,0.008898735046386719,0.007034778594970703,0.016298294067382812,0.4,0.85
7,5000,A law of large numbers for weighted majority,journals/scw/Neeman14,10.1.1.298.2639,7324391,"(24, '-', 17)",94951.42411470413,Match,0.00394749641418457,0.0025548934936523438,0.006651878356933594,0.4,0.85
7,5000,Axiomatic districting,journals/scw/PuppeT15,10.1.1.156.6578,14367298,"(13, '-', 8)",94951.42411470413,Match,0.001847982406616211,0.0012464523315429688,0.0031805038452148438,0.4,0.85
7,5000,Two families of rules for the adjudication of conflicting claims,journals/scw/Thomson08,10.1.1.81.3261,4623977,"(43, '-', 26)",94951.42411470413,Match,0.006222724914550781,0.0046765804290771484,0.011153697967529297,0.4,0.85
7,5000,Flexibility of choice versus reduction of ambiguity ∗,journals/scw/GuerdjikovaZ08,10.1.1.318.4123,20484949,"(31, '-', 31)",94951.42411470413,Match,0.003942012786865234,0.002020120620727539,0.006098270416259766,0.4,0.85
7,5000,Bayesian group belief,journals/scw/Dietrich10,10.1.1.386.3416,21277129,"(12, '-', 5)",94951.42411470413,Match,0.0017414093017578125,0.0013878345489501953,0.003210783004760742,0.4,0.85
7,5000,Book Review,journals/scw/Saari00,10.1.1.10.1728,8634079,"(4, '-', 4)",94951.42411470413,Match,0.0003924369812011719,0.00011324882507324219,0.0005180835723876953,0.4,0.85
7,5000,Measuring influence in command games ⋆,journals/scw/GrabischR09,10.1.1.324.2954,21298244,"(20, '-', 20)",94951.42411470413,Match,0.0029282569885253906,0.002269744873046875,0.0053217411041259766,0.4,0.85
7,5000,Consistent updating of social welfare functions ∗,journals/scw/Hayashi16,10.1.1.304.5090,19849088,"(30, '-', 15)",94951.42411470413,Match,0.004275321960449219,0.003128528594970703,0.007588386535644531,0.4,0.85
7,5000,Bidding for Envy-freeness: A Procedural Approach to n-Player Fair-Division Problems,journals/scw/HaakeRS02,10.1.1.17.8682,2126944,"(20, '-', 20)",94951.42411470413,Match,0.008443593978881836,0.005666494369506836,0.01441502571105957,0.4,0.85
7,5000,Auctioning or assigning an object: some remarkable VCG mechanisms,journals/scw/Moulin10,10.1.1.120.9606,4500640,"(47, '-', 47)",94951.42411470413,Match,0.003367900848388672,0.002838611602783203,0.006363868713378906,0.4,0.85
7,5000,  A crash course in implementation theory,journals/scw/Jackson01,10.1.1.136.4034,64947,"(22, '-', 12)",94951.42411470413,Match,0.004622220993041992,0.0022459030151367188,0.007017612457275391,0.4,0.85
7,5000,On the structure of minimal winning coalitions in simple voting games,journals/scw/AxenovichR10,10.1.1.296.4203,28265659,"(48, '-', 20)",94951.42411470413,Match,0.00699305534362793,0.004791736602783203,0.012044429779052734,0.4,0.85
7,5000,A counterexample to a conjecture of Schwartz,journals/scw/BrandtCKLNSST13,10.1.1.308.7161,13806951,"(34, '-', 26)",94951.42411470413,Match,0.006309032440185547,0.0027511119842529297,0.009240388870239258,0.4,0.85
7,5000,Interpersonal comparisons of utility and the policy paralysis problem,journals/scw/Mandler00,10.1.1.165.8023,10597133,"(44, '-', 16)",94951.42411470413,Match,0.006501436233520508,0.004602193832397461,0.011372566223144531,0.4,0.85
7,5000,A Note on the Separability Principle in Economies with Single-Peaked Preferences ∗,journals/scw/Klaus06,10.1.1.416.6625,27861077,"(52, '-', 15)",94951.42411470413,Match,0.012884140014648438,0.008680343627929688,0.022045373916625977,0.4,0.85
7,5000,ORIGINAL PAPER Methods for distance-based judgment aggregation,journals/scw/MillerO09,10.1.1.405.1086,27089481,"(29, '-', 14)",94951.42411470413,Match,0.006545066833496094,0.004743814468383789,0.011521100997924805,0.4,0.85
7,5000,An Axiomatization of the Nash Bargaining Solution,journals/scw/Clippel07,10.1.1.388.5492,25865564,"(13, '-', 20)",94951.42411470413,Match,0.0035152435302734375,0.002422332763671875,0.006081819534301758,0.4,0.85
7,5000,2011b): Measuring poverty without the mortality paradox,journals/scw/LefebvrePP13,10.1.1.404.2239,24832489,"(20, '-', 10)",94951.42411470413,Match,0.00609898567199707,0.004866361618041992,0.011195659637451172,0.4,0.85
7,5000,Sequential procedures for poverty gap dominance,journals/scw/ZoliL12,10.1.1.333.2758,22175932,"(31, '-', 10)",94951.42411470413,Match,0.00542449951171875,0.004313945770263672,0.009946584701538086,0.4,0.85
7,5000,The partnered core of a game without side payments,journals/scw/RenyWW12,10.1.1.147.3267,182939,"(34, '-', 8)",94951.42411470413,Match,0.0018451213836669922,0.001356363296508789,0.0032851696014404297,0.4,0.85
7,5000,Dynamic Measures of Individual Deprivation ∗,journals/scw/BossertD07,10.1.1.315.638,20312171,"(23, '-', 8)",94951.42411470413,Match,0.005902290344238281,0.003971576690673828,0.010092020034790039,0.4,0.85
7,5000,Monotonicity in Condorcet Jury Theorem,journals/scw/BerendS05,10.1.1.5.5336,8879408,"(28, '-', 15)",94951.42411470413,Match,0.004017829895019531,0.0025429725646972656,0.0067098140716552734,0.4,0.85
7,5000, On the topological social choice model,journals/scw/Horvath01,10.1.1.143.3201,850630,"(21, '-', 14)",94951.42411470413,Match,0.005995750427246094,0.003595590591430664,0.009810686111450195,0.4,0.85
7,5000,An introduction to strategy-proof social choice functions,journals/scw/Barbera01,10.1.1.297.2553,19388357,"(37, '-', 28)",94951.42411470413,Match,0.0060634613037109375,0.004202365875244141,0.010479450225830078,0.4,0.85
