k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Face recognition based on ordinal correlation approach,journals/ijista/TjahyadiLAV07,10.1.1.85.9150,4816260,"(23, '-', 9)",98017.5150282383,Match,0.005615711212158203,0.025043010711669922,0.03084111213684082,0.4,0.85
7,5000,Fuzzy homogeneity measures for path-based colour image segmentation,journals/ijista/Chamorro-MartinezSPG06,10.1.1.217.2917,3727769,"(47, '-', 22)",98017.5150282383,Match,0.009167194366455078,0.005572319030761719,0.015049934387207031,0.4,0.85
7,5000,Dynamic learning of action patterns for object acquisition,journals/ijista/PetersL07,10.1.1.84.7125,4748517,"(33, '-', 8)",98017.5150282383,Match,0.007250785827636719,0.0063250064849853516,0.013884544372558594,0.4,0.85
7,5000,Stream Processing for Fast and Efficient Rotated Haar-like Features using Rotated Integral Images,journals/ijista/MessomB09,10.1.1.150.3179,9641251,"(22, '-', 47)",98017.5150282383,Match,0.009302854537963867,0.007913351058959961,0.017607927322387695,0.4,0.85
7,5000,The System-on-a-Chip Lock Cache,journals/dafes/AkgulM02,10.1.1.9.4961,1357175,"(23, '-', 21)",98017.5150282383,Match,0.0009026527404785156,0.00035452842712402344,0.0012903213500976562,0.4,0.85
7,5000,An Integrated Cosimulation Environment for Heterogeneous Systems Prototyping,journals/dafes/KimKSAC98,10.1.1.32.4988,926396,"(33, '-', 28)",98017.5150282383,Match,0.010811567306518555,0.007241964340209961,0.018453121185302734,0.4,0.85
7,5000,System Level Design for System on a Chip,journals/dafes/NeelyM98,10.1.1.55.556,7935559,"(26, '-', 13)",98017.5150282383,Match,0.0071527957916259766,0.003401041030883789,0.010787010192871094,0.4,0.85
7,5000,3-D Floorplanning: Simulated Annealing and Greedy Placement Methods for Reconfigurable Computing Systems,journals/dafes/BazarganKS00,10.1.1.13.8435,3514,"(59, '-', 59)",98017.5150282383,Match,0.01732158660888672,0.011089086532592773,0.02900862693786621,0.4,0.85
7,5000,Efficient Memory Management for High-Speed ATM Systems,journals/dafes/SerpanosK01,10.1.1.23.7239,2087156,"(28, '-', 12)",98017.5150282383,Match,0.006426572799682617,0.0044307708740234375,0.011101722717285156,0.4,0.85
7,5000,Compilation from Matlab to Process Networks Realized in FPGA,journals/dafes/HarrissWKD02,10.1.1.13.5622,512637,"(35, '-', 29)",98017.5150282383,Match,0.006064176559448242,0.003775358200073242,0.010060548782348633,0.4,0.85
7,5000,Reward-based voltage scheduling for dynamic-priority hard real-time,journals/dafes/YunK07,10.1.1.217.2204,13601756,"(49, '-', 21)",98017.5150282383,Match,0.007354021072387695,0.004247188568115234,0.011858463287353516,0.4,0.85
7,5000,System Level Virtual Prototyping of DSP ASICs Using Grammar Based Approach,journals/dafes/HemaniDOPLF00,10.1.1.41.7368,2789577,"(39, '-', 24)",98017.5150282383,Match,0.009576082229614258,0.007626533508300781,0.01756906509399414,0.4,0.85
7,5000,Stack Size Minimization for Embedded Real-Time Systems-on-a-Chip *,journals/dafes/GaiLN02,10.1.1.222.7551,13891315,"(37, '-', 17)",98017.5150282383,Match,0.008238554000854492,0.004425048828125,0.012923479080200195,0.4,0.85
7,5000,Reprogrammable Platforms for High-Speed Data Acquisition,journals/dafes/LudvigMNS02,10.1.1.12.2005,1332808,"(34, '-', 13)",98017.5150282383,Match,0.008173227310180664,0.00562596321105957,0.014076948165893555,0.4,0.85
7,5000,Tuning of Cache Ways and Voltage for Low-Energy Embedded System Platforms,journals/dafes/GivargisV02,10.1.1.16.4748,8491289,"(50, '-', 50)",98017.5150282383,Match,0.00970458984375,0.007827997207641602,0.01792168617248535,0.4,0.85
7,5000,Very Rapid Prototyping of Wearable Computers: A Case Study of VuMan 3 Custom versus Off-the-Shelf Design Methodologies,journals/dafes/SmailagicSMS98,10.1.1.23.9667,1748484,"(84, '-', 71)",98017.5150282383,Match,0.014026880264282227,0.00945138931274414,0.023993253707885742,0.4,0.85
7,5000,Hardware/Software Co-Design of Run-Time Schedulers for Real-Time Systems,journals/dafes/MooneyM00,10.1.1.4.6921,523899,"(45, '-', 33)",98017.5150282383,Match,0.010004758834838867,0.004373788833618164,0.014662981033325195,0.4,0.85
7,5000,C-HEAP: A Heterogeneous Multi-processor Architecture Template and Scalable and Flexible Protocol for the Design of Embedded Signal Processing Systems,journals/dafes/NieuwlandKGSBGLL02,10.1.1.18.3214,319180,"(68, '-', 13)",98017.5150282383,Match,0.02214956283569336,0.016162395477294922,0.03913140296936035,0.4,0.85
7,5000,Extended Synchronous Dataflow for Efficient DSP System Prototyping,journals/dafes/ParkJH02,10.1.1.44.4509,420561,"(42, '-', 42)",98017.5150282383,Match,0.006552457809448242,0.003711223602294922,0.010477304458618164,0.4,0.85
7,5000,Fast and Time-Accurate Cosimulation with OS Scheduler Modeling,journals/dafes/YiKH03,10.1.1.81.2866,3849155,"(39, '-', 13)",98017.5150282383,Match,0.007405996322631836,0.004565000534057617,0.012245893478393555,0.4,0.85
7,5000,  Specifying and proving properties of timed I/O automata using Tempo,journals/dafes/ArcherLLMU08,10.1.1.148.2241,3860032,"(40, '-', 30)",98017.5150282383,Match,0.006118297576904297,0.003936290740966797,0.010292530059814453,0.4,0.85
7,5000,An Algorithm for Hardware/Software Partitioning Using Mixed Integer Linear Programming,journals/dafes/NiemannM97,10.1.1.55.8707,924695,"(42, '-', 21)",98017.5150282383,Match,0.011088371276855469,0.007330656051635742,0.018842458724975586,0.4,0.85
7,5000,Optimistic chordal coloring: a coalescing heuristic for SSA form programs,journals/dafes/BriskVI09,10.1.1.158.2594,10209398,"(61, '-', 10)",98017.5150282383,Match,0.005140542984008789,0.003476381301879883,0.008807897567749023,0.4,0.85
7,5000,IMPACCT: Methodology and Tools for Power-Aware Embedded Systems,journals/dafes/ChouLLB02,10.1.1.12.8577,609184,"(35, '-', 19)",98017.5150282383,Match,0.008861541748046875,0.00619959831237793,0.015382528305053711,0.4,0.85
7,5000,Virtual Prototyping For Modular And Flexible Hardware-Software Systems,journals/dafes/ValderramaCJ97,10.1.1.42.5203,21959,"(45, '-', 24)",98017.5150282383,Match,0.008997917175292969,0.004984855651855469,0.01428985595703125,0.4,0.85
7,5000,Retargetable Code Generation based on Structural Processor Descriptions,journals/dafes/LeupersM98,10.1.1.57.4520,45585,"(29, '-', 16)",98017.5150282383,Match,0.00525355339050293,0.0036187171936035156,0.009097814559936523,0.4,0.85
7,5000,Synthesis of Hard Real-Time Application Specific Systems,journals/dafes/LeePW99,10.1.1.16.1475,1428854,"(24, '-', 24)",98017.5150282383,Match,0.007216215133666992,0.004667758941650391,0.012167930603027344,0.4,0.85
7,5000,The REAR Framework for Emulation and Analysis of Embedded Hard Real-Time Systems,journals/dafes/PettersMKHFF00,10.1.1.48.5431,188052,"(34, '-', 15)",98017.5150282383,Match,0.005452632904052734,0.0031774044036865234,0.008827686309814453,0.4,0.85
7,5000,System Level Hardware/Software Partitioning Based on Simulated Annealing and Tabu Search,journals/dafes/ElesPKD97,10.1.1.47.4721,149405,"(56, '-', 23)",98017.5150282383,Match,0.011236906051635742,0.007620573043823242,0.01927471160888672,0.4,0.85
7,5000,VLIW Processor Codesign for Video Processing,journals/dafes/WilbergC97,10.1.1.51.8540,2121103,"(26, '-', 12)",98017.5150282383,Match,0.005624055862426758,0.0024423599243164062,0.008226156234741211,0.4,0.85
7,5000,LYCOS: the Lyngby Co-Synthesis System,journals/dafes/MadsenGKPH97,10.1.1.57.552,59274,"(26, '-', 6)",98017.5150282383,Match,0.0017299652099609375,0.0010921955108642578,0.0029022693634033203,0.4,0.85
7,5000,Optimizing Timed Cosimulation by Hybrid Synchronization,journals/dafes/YooC00,10.1.1.43.6053,1429491,"(28, '-', 6)",98017.5150282383,Match,0.006612300872802734,0.0032439231872558594,0.010072946548461914,0.4,0.85
7,5000,APGAN and RPMC: Complementary Heuristics for Translating DSP Block Diagrams into Efficient Software Implementations,journals/dafes/BhattacharyyaML97,10.1.1.29.4188,115329,"(68, '-', 68)",98017.5150282383,Match,0.014243841171264648,0.010642528533935547,0.02540111541748047,0.4,0.85
7,5000,CALiBeR: A Software Pipelining Algorithm for Clustered Embedded VLIW Processors,journals/dafes/AkturanJ02,10.1.1.24.9295,1252616,"(36, '-', 17)",98017.5150282383,Match,0.008970022201538086,0.005973339080810547,0.015308141708374023,0.4,0.85
7,5000,An overview of Rapid System Prototyping today,journals/dafes/KordonH03,10.1.1.105.219,819687,"(22, '-', 16)",98017.5150282383,Match,0.006456136703491211,0.0035066604614257812,0.010171175003051758,0.4,0.85
7,5000,A Survey on IP Watermarking Techniques,journals/dafes/Abdel-HamidTA04,10.1.1.302.4266,19727926,"(21, '-', 18)",98017.5150282383,Match,0.005368947982788086,0.002974987030029297,0.008487701416015625,0.4,0.85
7,5000,Guest Editor Introduction,journals/dafes/Al-Hashimi02,10.1.1.74.1280,4310807,"(11, '-', 6)",98017.5150282383,Match,0.0016446113586425781,0.0013620853424072266,0.0030813217163085938,0.4,0.85
7,5000,Assessing Probabilistic Timing Constraints on System Performance,journals/dafes/VecianaJG00,10.1.1.35.3490,2723445,"(27, '-', 27)",98017.5150282383,Match,0.00881052017211914,0.005978107452392578,0.015089273452758789,0.4,0.85
7,5000,Analysis and Evaluation of Address Arithmetic Capabilities in Custom DSP Architectures,journals/dafes/SudarsanamLD99,10.1.1.13.4519,95441,"(43, '-', 43)",98017.5150282383,Match,0.010090112686157227,0.004775524139404297,0.015138864517211914,0.4,0.85
7,5000,Device Driver and DMA Controller Synthesis from HW/SW Communication Protocol Specifications,journals/dafes/ONilsJ01,10.1.1.98.2076,5480805,"(42, '-', 19)",98017.5150282383,Match,0.007068157196044922,0.005562543869018555,0.012926578521728516,0.4,0.85
7,5000,Domain Specific Tools and Methods for Application in Security Processor Design,journals/dafes/SchaumontV02,10.1.1.1.8573,4533626,"(35, '-', 9)",98017.5150282383,Match,0.011306047439575195,0.009275197982788086,0.021045684814453125,0.4,0.85
7,5000,Influence of different system abstractions on the performance analysis of distributed real-time systems,journals/dafes/PerathonerWTHSHREH09,10.1.1.413.8230,9284004,"(27, '-', 27)",98017.5150282383,Match,0.008532047271728516,0.004906177520751953,0.013726234436035156,0.4,0.85
7,5000,CoWare - A design environment for heterogeneous hardware/software systems,journals/dafes/VerkestRBM96,10.1.1.53.2208,35033,"(41, '-', 36)",98017.5150282383,Match,0.0038614273071289062,0.0026760101318359375,0.006695747375488281,0.4,0.85
7,5000,Synthesizing Energy-Efficient Embedded Systems with LOPOCOS,journals/dafes/SchmitzAE02,10.1.1.15.7967,515567,"(31, '-', 24)",98017.5150282383,Match,0.004400491714477539,0.0029838085174560547,0.007536411285400391,0.4,0.85
