k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Lower-Stretch Spanning Trees,reference/algo/Elkin08,10.1.1.100.2012,574415,"(15, '-', 15)",96187.56774425507,Match,0.002355813980102539,0.0038604736328125,0.006289005279541016,0.4,0.85
7,5000,Neural Networks for Time Series Forecasting,reference/nc/Zhang12a,10.1.1.45.5312,8036579,"(16, '-', 16)",96187.56774425507,Match,0.006505727767944336,0.0026793479919433594,0.009348154067993164,0.4,0.85
7,5000,Computing with Spiking Neuron Networks,reference/nc/Paugam-MoisyB12,10.1.1.296.7355,19358285,"(19, '-', 15)",96187.56774425507,Match,0.0046083927154541016,0.00273895263671875,0.007527351379394531,0.4,0.85
7,5000,Genetics-based Machine Learning,reference/nc/Kovacs12,10.1.1.301.1537,10113940,"(10, '-', 10)",96187.56774425507,Match,0.0044786930084228516,0.0018377304077148438,0.006448507308959961,0.4,0.85
7,5000,Engineering Natural Computation by Autonomous DNA-Based Biomolecular Devices,reference/nc/ReifL12,10.1.1.151.2958,9701165,"(38, '-', 10)",96187.56774425507,Match,0.0062406063079833984,0.004555940628051758,0.011075735092163086,0.4,0.85
7,5000,Coevolutionary Principles,reference/nc/PopoviciBWJ12,10.1.1.189.4593,11927434,"(8, '-', 5)",96187.56774425507,Match,0.001729726791381836,0.0011785030364990234,0.0029916763305664062,0.4,0.85
7,5000,solving in Evolutionary Algorithms,reference/nc/Shir12,10.1.1.107.6755,1060262,"(10, '-', 10)",96187.56774425507,Match,0.003908872604370117,0.0018906593322753906,0.005934476852416992,0.4,0.85
7,5000,Syntactic Parsing,reference/nlp/LjunglofW10,10.1.1.130.8475,7200942,"(11, '-', 11)",96187.56774425507,Match,0.003610372543334961,0.0013985633850097656,0.005110979080200195,0.4,0.85
7,5000,Fundamental Statistical Techniques,reference/nlp/Zhang10,10.1.1.387.9980,25819715,"(15, '-', 10)",96187.56774425507,Match,0.0071125030517578125,0.0030982494354248047,0.010419607162475586,0.4,0.85
7,5000,Multiword Expressions,reference/nlp/BaldwinK10,10.1.1.153.4250,906731,"(10, '-', 10)",96187.56774425507,Match,0.0015020370483398438,0.0009696483612060547,0.0025434494018554688,0.4,0.85
7,5000,Normalized Web Distance and Word Similarity,reference/nlp/VitanyiC10,10.1.1.251.225,15019996,"(23, '-', 23)",96187.56774425507,Match,0.002857685089111328,0.0019028186798095703,0.004886627197265625,0.4,0.85
7,5000,Text Preprocessing,reference/nlp/Palmer10,10.1.1.136.9522,7640336,"(8, '-', 8)",96187.56774425507,Match,0.0005714893341064453,0.0001575946807861328,0.0007467269897460938,0.4,0.85
7,5000,Statistical Approaches to Natural Language Processing,reference/nlp/Dale10,10.1.1.40.6573,8093739,"(17, '-', 15)",96187.56774425507,Match,0.008280515670776367,0.004267215728759766,0.01280522346496582,0.4,0.85
7,5000,Bio-Cryptography 7,reference/icsec/XiH10,10.1.1.187.7410,11830451,"(8, '-', 8)",96187.56774425507,Match,0.0031197071075439453,0.0006842613220214844,0.0038704872131347656,0.4,0.85
7,5000,Host-Based Anomaly Intrusion Detection,reference/icsec/Hu10,10.1.1.187.6978,11828611,"(25, '-', 25)",96187.56774425507,Match,0.007520914077758789,0.002646207809448242,0.01033639907836914,0.4,0.85
7,5000,Cryptographic Hash Function,reference/icsec/GauravaramK10,10.1.1.184.4864,11667823,"(14, '-', 14)",96187.56774425507,Match,0.0030372142791748047,0.0010607242584228516,0.00418400764465332,0.4,0.85
7,5000,Public-Key Cryptography,reference/icsec/Katz10,10.1.1.128.29,6992575,"(14, '-', 14)",96187.56774425507,Match,0.002790689468383789,0.0008642673492431641,0.0037276744842529297,0.4,0.85
7,5000,Exploring Phishing Attacks and Countermeasures,reference/icsec/Ramzan10,10.1.1.321.6011,20974040,"(23, '-', 19)",96187.56774425507,Match,0.0039637088775634766,0.002008676528930664,0.006098270416259766,0.4,0.85
7,5000,Fractals and Chaos in Geology and Geophysics,reference/complexity/Turcotte09,10.1.1.230.7967,14254095,"(18, '-', 9)",96187.56774425507,Match,0.004737377166748047,0.003183603286743164,0.008114337921142578,0.4,0.85
7,5000,Signaling Games,reference/complexity/Sobel09,10.1.1.137.6873,7692160,"(7, '-', 7)",96187.56774425507,Match,0.002359628677368164,0.0010008811950683594,0.0034427642822265625,0.4,0.85
7,5000,Random Walks in Random Environment,reference/complexity/Zeitouni09,10.1.1.135.8034,4118794,"(19, '-', 19)",96187.56774425507,Match,0.002048492431640625,0.0009393692016601562,0.0030531883239746094,0.4,0.85
7,5000,Inspection Games,reference/complexity/AvenhausC09,10.1.1.167.112,1036388,"(9, '-', 9)",96187.56774425507,Match,0.0022127628326416016,0.0009799003601074219,0.0032613277435302734,0.4,0.85
7,5000,Hyperbolic Dynamical Systems,reference/complexity/AraujoV09,10.1.1.33.3917,1779788,"(13, '-', 13)",96187.56774425507,Match,0.005083322525024414,0.0023734569549560547,0.007600069046020508,0.4,0.85
7,5000,Fractal and Multifractal Scaling of Electrical Conduction in Random Resistor Networks,reference/complexity/Redner09,10.1.1.67.7355,4019757,"(59, '-', 20)",96187.56774425507,Match,0.017499685287475586,0.011686563491821289,0.02979874610900879,0.4,0.85
