k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Forensic Speaker Recognition,reference/bio/X09mk,10.1.1.208.4425,13198689,"(16, '-', 16)",98595.35273885727,Match,0.0025696754455566406,0.0012049674987792969,0.003858804702758789,0.4,0.85
7,5000,Circular Hough Transform,reference/bio/X09da,10.1.1.92.8961,5214097,"(14, '-', 8)",98595.35273885727,Match,0.0021872520446777344,0.0011720657348632812,0.0034415721893310547,0.4,0.85
7,5000,Bubble Recognition From Image Sequences,reference/bio/X09jb,10.1.1.16.5299,1604614,"(16, '-', 14)",98595.35273885727,Match,0.00674891471862793,0.003677845001220703,0.010651588439941406,0.4,0.85
7,5000,Secure Biometrics,reference/bio/X09xea,10.1.1.130.7882,9053760,"(9, '-', 8)",98595.35273885727,Match,0.0012764930725097656,0.0007302761077880859,0.002066373825073242,0.4,0.85
7,5000,Offline Handwritten Signature Recognition,reference/bio/X09pm,10.1.1.221.8543,13843660,"(18, '-', 13)",98595.35273885727,Match,0.006665706634521484,0.0038106441497802734,0.010717153549194336,0.4,0.85
7,5000,Radiometric Calibration . . .,reference/bio/X09xce,10.1.1.221.6892,14480297,"(12, '-', 12)",98595.35273885727,Match,0.0035910606384277344,0.0018312931060791016,0.005553245544433594,0.4,0.85
7,5000,Fingerprint Classification,reference/bio/Jiang09,10.1.1.11.5410,8583264,"(11, '-', 11)",98595.35273885727,Match,0.002324819564819336,0.0009620189666748047,0.0033600330352783203,0.4,0.85
7,5000,Incremental Learning in,reference/bio/GengS15,10.1.1.102.9416,585580,"(6, '-', 6)",98595.35273885727,Match,0.002691507339477539,0.0014400482177734375,0.004236698150634766,0.4,0.85
7,5000,Elastically Adaptive Deformable Models,reference/bio/X09hi,10.1.1.120.3348,2222816,"(24, '-', 24)",98595.35273885727,Match,0.006978034973144531,0.004280567169189453,0.01149749755859375,0.4,0.85
7,5000,The Curse of Dimensionality,reference/bio/X09fg,10.1.1.18.1878,7160406,"(10, '-', 10)",98595.35273885727,Match,0.002188444137573242,0.0012438297271728516,0.0035257339477539062,0.4,0.85
7,5000,Fingerprint Classification,reference/bio/Jiang15,10.1.1.11.5410,8583264,"(11, '-', 11)",98595.35273885727,Match,0.002365589141845703,0.000993490219116211,0.0034317970275878906,0.4,0.85
7,5000,Incremental Learning in,reference/bio/GengS09,10.1.1.102.9416,585580,"(6, '-', 6)",98595.35273885727,Match,0.002695322036743164,0.0014486312866210938,0.004249095916748047,0.4,0.85
7,5000,Extended Enterprise,reference/bio/X09if,10.1.1.107.5150,1043355,"(7, '-', 7)",98595.35273885727,Match,0.0019600391387939453,0.0006768703460693359,0.0026950836181640625,0.4,0.85
7,5000,Maximum A Posteriori Estimation Of,reference/bio/X09vo,10.1.1.18.6277,8540093,"(11, '-', 11)",98595.35273885727,Match,0.0010673999786376953,0.00032258033752441406,0.001424551010131836,0.4,0.85
7,5000,Ear Biometrics,reference/bio/Choras15,10.1.1.21.6095,290826,"(7, '-', 7)",98595.35273885727,Match,0.0013468265533447266,0.0007092952728271484,0.0021142959594726562,0.4,0.85
7,5000,Electromagnetic Spectrum,reference/bio/X09hl,10.1.1.140.7247,9090872,"(10, '-', 10)",98595.35273885727,Match,0.0037887096405029297,0.001399993896484375,0.005288362503051758,0.4,0.85
7,5000,Speaker Matching,reference/bio/BonastreM09,10.1.1.39.9217,8082225,"(7, '-', 5)",98595.35273885727,Match,0.0013387203216552734,0.0006022453308105469,0.001992464065551758,0.4,0.85
7,5000,Fingerprint Signatures,reference/bio/X09lq,10.1.1.184.2868,13229577,"(13, '-', 12)",98595.35273885727,Match,0.00331878662109375,0.0016663074493408203,0.005098819732666016,0.4,0.85
7,5000,Speaker Matching,reference/bio/BonastreM15,10.1.1.39.9217,8082225,"(7, '-', 5)",98595.35273885727,Match,0.001361846923828125,0.0006175041198730469,0.0020313262939453125,0.4,0.85
7,5000,Similarity Metric,reference/bio/X09xfd,10.1.1.106.106,906059,"(5, '-', 5)",98595.35273885727,Match,0.0007262229919433594,0.00026726722717285156,0.0010218620300292969,0.4,0.85
7,5000,On the Individuality of Fingerprints,reference/bio/DassPPZ09,10.1.1.21.1203,171398,"(16, '-', 16)",98595.35273885727,Match,0.004317522048950195,0.0026133060455322266,0.00708770751953125,0.4,0.85
7,5000,Automated Fingerprint Identification and Imaging Systems,reference/bio/X09as,10.1.1.21.380,1113658,"(17, '-', 14)",98595.35273885727,Match,0.0022759437561035156,0.0010268688201904297,0.0033752918243408203,0.4,0.85
7,5000,A Trusted Biometric System,reference/bio/X09xjt,10.1.1.4.1942,2916435,"(15, '-', 10)",98595.35273885727,Match,0.003907680511474609,0.002191781997680664,0.006252288818359375,0.4,0.85
7,5000,Abstract Syntax Notation One (ASN.1),reference/bio/X09,10.1.1.374.3242,24930204,"(16, '-', 16)",98595.35273885727,Match,0.001708984375,0.0010800361633300781,0.002863645553588867,0.4,0.85
7,5000,Foreword...,reference/choice/Moulin16,10.1.1.224.5602,13947660,"(3, '-', 4)",98595.35273885727,Match,8.606910705566406e-05,5.054473876953125e-05,0.0001404285430908203,0.4,0.85
7,5000,Good Rationalizations of Voting Rules,reference/choice/ElkindS16,10.1.1.170.6669,10860913,"(17, '-', 10)",98595.35273885727,Match,0.004255056381225586,0.0029058456420898438,0.007331132888793945,0.4,0.85
7,5000,13 Cake Cutting Algorithms,reference/choice/Procaccia16,10.1.1.309.9924,20112542,"(9, '-', 7)",98595.35273885727,Match,0.0012736320495605469,0.0007295608520507812,0.0020585060119628906,0.4,0.85
7,5000,Descriptive Statistics,reference/bioinf/FranzeseI19,10.1.1.180.8627,11476335,"(7, '-', 7)",98595.35273885727,Match,0.002109050750732422,0.001355886459350586,0.0035588741302490234,0.4,0.85
7,5000,Chapter 1 Ab Initio Protein Structure Prediction,reference/bioinf/KaushikS019,10.1.1.329.7596,21993881,"(15, '-', 15)",98595.35273885727,Match,0.002981424331665039,0.0017993450164794922,0.004909992218017578,0.4,0.85
7,5000,Metabolic Modeling,reference/bioinf/SchwartzS19,10.1.1.208.3542,13194283,"(6, '-', 6)",98595.35273885727,Match,0.0026929378509521484,0.0014605522155761719,0.004253387451171875,0.4,0.85
7,5000,Deep Learning 2,reference/bioinf/Guarascio0R19a,10.1.1.114.2281,5928497,"(4, '-', 4)",98595.35273885727,Match,0.00018286705017089844,7.796287536621094e-05,0.0002694129943847656,0.4,0.85
7,5000,Host-Pathogen Interactions†,reference/bioinf/SouthwoodR19a,10.1.1.334.4162,22302421,"(12, '-', 12)",98595.35273885727,Match,0.0012247562408447266,0.0007326602935791016,0.0020155906677246094,0.4,0.85
7,5000,Kernel Methods and Support Vector Machines,reference/bioinf/ZoppisMD19a,10.1.1.6.2663,586523,"(15, '-', 20)",98595.35273885727,Match,0.0056569576263427734,0.002106189727783203,0.007899284362792969,0.4,0.85
7,5000,Semantic Web Architecture,reference/sp/HarthJS11,10.1.1.175.2436,11141265,"(9, '-', 9)",98595.35273885727,Match,0.0025243759155273438,0.0008478164672851562,0.0034303665161132812,0.4,0.85
7,5000,Iterated Local Search,reference/sp/StutzleR18a,10.1.1.112.767,554834,"(12, '-', 12)",98595.35273885727,Match,0.0031075477600097656,0.001535654067993164,0.004746437072753906,0.4,0.85
7,5000,34 Starlet Transform in Astronomical Data Processing,reference/sp/StarckMB15,10.1.1.306.7436,19927524,"(31, '-', 17)",98595.35273885727,Match,0.007760763168334961,0.0034742355346679688,0.011452198028564453,0.4,0.85
