k,num_removed_kmers,candidate_paper_title,candidate_dblp_id,citeseer_id,cluster_id,ratio,hashmap_build_time,match,average_query_time_phase1,average_query_time_phase2,average_query_time_total,levenshteinThreshold,ratioThreshold
7,5000,Combined multiuser detection and beamforming for CDMA systems: Filter structures,journals/tvt/YenerYU02,10.1.1.124.2197,1230166,"(45, '-', 45)",96496.17447137833,Match,0.007930994033813477,0.03644752502441406,0.044673919677734375,0.4,0.85
7,5000,Virtual Backoff Algorithm: An Enhancement to 802.11 Medium-Access Control to Improve the Performance of MANETS,journals/tvt/KrishnaMOS10,10.1.1.377.7335,25135553,"(67, '-', 13)",96496.17447137833,Match,0.014170646667480469,0.009597539901733398,0.024227380752563477,0.4,0.85
7,5000,Joint Interference Cancellation and Channel Shortening in Multi-User MIMO Systems,journals/tvt/SamantaHE07,10.1.1.113.8182,5896002,"(39, '-', 27)",96496.17447137833,Match,0.009655475616455078,0.007154226303100586,0.017161130905151367,0.4,0.85
7,5000,Wireless Network-Coded Accumulate-Compute and Forward Two-Way Relaying,journals/tvt/ShuklaMR16,10.1.1.343.1971,22706482,"(42, '-', 12)",96496.17447137833,Match,0.004150867462158203,0.003057718276977539,0.007359504699707031,0.4,0.85
7,5000,Virtual MIMO-based crosslayer design for wireless sensor networks,journals/tvt/YuanHC06,10.1.1.332.9320,5404488,"(38, '-', 19)",96496.17447137833,Match,0.009805679321289062,0.004762887954711914,0.01480412483215332,0.4,0.85
7,5000,Optimization of Sequential Paging in Movement-Based Location Management Based on Movement Statistics,journals/tvt/ZhuL07,10.1.1.76.7559,4417092,"(54, '-', 11)",96496.17447137833,Match,0.014170169830322266,0.010364532470703125,0.02503800392150879,0.4,0.85
7,5000,Power-Controlled FCFS Splitting Algorithm for Wireless Networks,journals/tvt/GoreK10,10.1.1.174.2776,9978800,"(26, '-', 20)",96496.17447137833,Match,0.004987239837646484,0.003524303436279297,0.008682489395141602,0.4,0.85
7,5000,A novel privacy preserving authentication and access control scheme for pervasive computing environments,journals/tvt/RenLKD06,10.1.1.105.9843,904049,"(66, '-', 22)",96496.17447137833,Match,0.017938852310180664,0.01312398910522461,0.0316925048828125,0.4,0.85
7,5000,Occupant Classification using Range Images,journals/tvt/DevarakotaCGMO07,10.1.1.64.9230,3885616,"(18, '-', 11)",96496.17447137833,Match,0.00440669059753418,0.0036826133728027344,0.00827646255493164,0.4,0.85
7,5000,On Wireless Links for Vehicle-to-Infrastructure Communications,journals/tvt/BelanovicVPZRM10,10.1.1.337.6375,14622798,"(31, '-', 31)",96496.17447137833,Match,0.005862712860107422,0.0056951045989990234,0.011826515197753906,0.4,0.85
7,5000,1 BIONETS: Bio-Inspired Networking for Pervasive Communication Environments,journals/tvt/CarrerasCPM07,10.1.1.392.4267,26156452,"(43, '-', 15)",96496.17447137833,Match,0.013485431671142578,0.009955883026123047,0.0239255428314209,0.4,0.85
7,5000,Timely Data Delivery in a Realistic Bus Network,journals/tvt/AcerGHNT12,10.1.1.231.1979,14283394,"(36, '-', 36)",96496.17447137833,Match,0.00817418098449707,0.004883766174316406,0.013335466384887695,0.4,0.85
7,5000,Stochastic Modeling and Simulation of Frequency-Correlated Wideband Fading Channels,journals/tvt/WangPY07,10.1.1.377.3182,19459477,"(39, '-', 16)",96496.17447137833,Match,0.009527921676635742,0.005713224411010742,0.015552520751953125,0.4,0.85
7,5000,Optimal resource allocation and adaptive call Admission control for voice/data integrated cellular networks,journals/tvt/LeongZCW06,10.1.1.130.3292,226481,"(61, '-', 30)",96496.17447137833,Match,0.012592077255249023,0.008410215377807617,0.021409034729003906,0.4,0.85
7,5000,Bit Error Probability of Space Shift Keying MIMO over Multiple–Access Independent Fading Channels,journals/tvt/RenzoH11,10.1.1.393.4868,26244533,"(43, '-', 16)",96496.17447137833,Match,0.00739741325378418,0.005558490753173828,0.013215780258178711,0.4,0.85
7,5000,1 Experimental Characterization and Modeling of Outdoor-to-Indoor and Indoor-to-Indoor Distributed Channels,journals/tvt/OestgesCBCKP10,10.1.1.212.5486,13391033,"(70, '-', 57)",96496.17447137833,Match,0.007229804992675781,0.0058498382568359375,0.013363361358642578,0.4,0.85
7,5000,Efficient and Reliable Broadcast in Intervehicle Communication Networks: A Cross-Layer Approach,journals/tvt/BiCSZ10,10.1.1.172.7392,10943965,"(58, '-', 20)",96496.17447137833,Match,0.020803213119506836,0.014069557189941406,0.03557610511779785,0.4,0.85
7,5000,Admission Control Based on Rate-Variance Envelop for VBR Traffic over IEEE 802.11e HCCA WLANs ∗,journals/tvt/GaoCC08,10.1.1.95.8645,5359342,"(64, '-', 13)",96496.17447137833,Match,0.0069599151611328125,0.005349874496459961,0.01256108283996582,0.4,0.85
7,5000,Impact of Network Coding on System Delay for Multi-source Multi-destination Scenarios,journals/tvt/DingML10,10.1.1.307.9701,19989198,"(37, '-', 36)",96496.17447137833,Match,0.011232137680053711,0.00816035270690918,0.019800662994384766,0.4,0.85
7,5000,Optimal Node Selection for Target Localization in Wireless Camera Sensor Networks,journals/tvt/LiuZM10,10.1.1.302.9824,19781368,"(35, '-', 12)",96496.17447137833,Match,0.006451129913330078,0.006211280822753906,0.012950658798217773,0.4,0.85
7,5000,On the Bounds of Feedback Rates for Pilot-Assisted MIMO Systems,journals/tvt/LiMDJ09,10.1.1.69.6519,4098225,"(46, '-', 13)",96496.17447137833,Match,0.01045370101928711,0.006827116012573242,0.01767730712890625,0.4,0.85
7,5000,Distributed Mobility Transparent Broadcasting in Vehicle to Vehicle Networks,journals/tvt/YangYS07,10.1.1.219.3826,4444823,"(39, '-', 25)",96496.17447137833,Match,0.01138615608215332,0.007837533950805664,0.01962733268737793,0.4,0.85
7,5000,Adaptive Traffic Signal Control With Vehicular Ad hoc Networks,journals/tvt/PanditGZC13,10.1.1.381.660,25360590,"(38, '-', 16)",96496.17447137833,Match,0.005988597869873047,0.004384279251098633,0.01061105728149414,0.4,0.85
7,5000,Channel Code Division Multiple Access and its Multilevel Structured LDPC Based Instantiation,journals/tvt/BonelloZCH09,10.1.1.319.2852,20625130,"(39, '-', 17)",96496.17447137833,Match,0.01240849494934082,0.00965738296508789,0.022538423538208008,0.4,0.85
7,5000,Robust Cross-layer Design of Wireless Profiled TCP Mobile Receiver for Vertical Handover,journals/tvt/RutagemwaPSM07,10.1.1.132.2307,7300030,"(53, '-', 16)",96496.17447137833,Match,0.009602785110473633,0.007521390914916992,0.017490863800048828,0.4,0.85
7,5000,An Intelligent Secure and Privacy-Preserving Parking Scheme Through Vehicular Communications,journals/tvt/LuLZS10,10.1.1.172.7168,10942708,"(54, '-', 20)",96496.17447137833,Match,0.014128684997558594,0.010617494583129883,0.025247812271118164,0.4,0.85
7,5000,An efficient detection technique for synchronous CDMA communication systems based on the expectation maximization algorithm,journals/tvt/BorranN00,10.1.1.143.8661,87368,"(63, '-', 18)",96496.17447137833,Match,0.020130634307861328,0.010811567306518555,0.031494855880737305,0.4,0.85
7,5000,Interference Rejection for Parametric Channel Estimation in Reuse-1 Cellular OFDM Systems,journals/tvt/RaghavendraBG09,10.1.1.330.783,22008744,"(48, '-', 18)",96496.17447137833,Match,0.009530305862426758,0.007339000701904297,0.017235517501831055,0.4,0.85
7,5000,Correspondence A New Formula for Lognormal Characteristic Functions,journals/tvt/Gubner06,10.1.1.333.1623,22168467,"(29, '-', 10)",96496.17447137833,Match,0.004564523696899414,0.0035147666931152344,0.008256912231445312,0.4,0.85
